date,balance,revenue,expense,recurring,actual_invoice,actual_income,description
2025-08-29,259667.65,12865.8,3198.15,0.0,0.0,0.0,Daily retail operations
2025-08-30,271863.32,17057.61,4861.94,0.0,0.0,0.0,Daily retail operations
2025-08-31,272346.63,6048.36,5565.05,0.0,0.0,0.0,Daily retail operations
2025-09-01,241273.32,5664.71,6738.03,30000.0,0.0,0.0,Monthly Office Rent
2025-09-02,242441.97,7350.98,6182.33,0.0,0.0,0.0,Daily retail operations
2025-09-03,246501.18,11008.71,6949.5,0.0,0.0,0.0,Daily retail operations
2025-09-04,254589.9,12623.55,4534.83,0.0,0.0,0.0,Daily retail operations
2025-09-05,267411.95,18271.22,5449.18,0.0,0.0,0.0,Daily retail operations
2025-09-06,273780.24,10428.68,4060.39,0.0,0.0,0.0,Daily retail operations
2025-09-07,274517.73,6103.97,5366.47,0.0,0.0,0.0,Daily retail operations
2025-09-08,276304.54,7436.53,5649.73,0.0,0.0,0.0,Daily retail operations
2025-09-09,276069.51,3834.43,4069.46,0.0,0.0,0.0,Daily retail operations
2025-09-10,272121.41,8619.55,4567.65,8000.0,0.0,0.0,Monthly Utilities
2025-09-11,276564.47,9884.28,5441.22,0.0,0.0,0.0,Daily retail operations
2025-09-12,287508.2,14952.77,4009.04,0.0,0.0,0.0,Daily retail operations
2025-09-13,296258.78,13529.51,4778.93,0.0,0.0,0.0,Daily retail operations
2025-09-14,294796.68,4405.04,5867.14,0.0,0.0,0.0,Daily retail operations
2025-09-15,294701.7,5578.25,5673.24,0.0,0.0,0.0,Daily retail operations
2025-09-16,296652.39,5771.73,3821.03,0.0,0.0,0.0,Daily retail operations
2025-09-17,295339.14,4562.09,5875.34,0.0,0.0,0.0,Daily retail operations
2025-09-18,299299.28,8002.45,4042.31,0.0,0.0,0.0,Daily retail operations
2025-09-19,309248.0,15253.89,5305.17,0.0,0.0,0.0,Daily retail operations
2025-09-20,318563.82,12932.93,3617.1,0.0,0.0,0.0,Daily retail operations
2025-09-21,322704.46,9046.45,4905.81,0.0,0.0,0.0,Daily retail operations
2025-09-22,325120.26,7665.42,5249.62,0.0,0.0,0.0,Daily retail operations
2025-09-23,326850.64,6510.25,4779.88,0.0,0.0,0.0,Daily retail operations
2025-09-24,328848.12,6322.78,4325.3,0.0,0.0,0.0,Daily retail operations
2025-09-25,332655.68,6812.5,3004.94,0.0,0.0,0.0,Daily retail operations
2025-09-26,336780.15,9355.59,5231.12,0.0,0.0,0.0,Daily retail operations
2025-09-27,350020.44,17024.93,3784.64,0.0,0.0,0.0,Daily retail operations
2025-09-28,276325.34,7508.03,6203.13,75000.0,0.0,0.0,Monthly Payroll Salaries
2025-09-29,277993.85,7494.3,5825.8,0.0,0.0,0.0,Daily retail operations
2025-09-30,279251.9,6072.29,4814.24,0.0,0.0,0.0,Daily retail operations
2025-10-01,178916.33,6592.71,5090.93,30000.0,71837.35,0.0,"Monthly Office Rent; User Transactions: -Commercial Realty Trust (Paid ₹30,000.00 for Monthly office and store lease rent to Commercial Realty Tru) [expense], -ABC Traders (Paid ₹41,837.35 for Inventory restocking - general merchandise to ABC Traders. C) [expense]"
2025-10-02,191465.3,17517.64,4968.67,0.0,0.0,8082.58,"User Transactions: +Online Portal Sales (Received ₹8,082.58 for E-commerce platform order settlement from Online Portal S) [income]"
2025-10-03,222171.15,36600.05,5894.2,0.0,0.0,24065.87,"User Transactions: +Walk-in Store Sales (Daily) (Received ₹24,065.87 for Daily retail store sales revenue from Walk-in Store Sale) [income]"
2025-10-04,228222.23,33749.82,5339.75,0.0,22358.98,23961.81,"User Transactions: -Tally Solutions (Paid ₹22,358.98 for Tally Prime accounting software annual renewal to Tally Solu) [expense], +Walk-in Store Sales (Daily) (Received ₹23,961.81 for Daily retail store sales revenue from Walk-in Store Sale) [income]"
2025-10-05,251044.71,28109.69,5287.22,0.0,0.0,21793.79,"User Transactions: +Walk-in Store Sales (Daily) (Received ₹12,495.92 for Daily retail store sales revenue from Walk-in Store Sale) [income], +Online Portal Sales (Received ₹9,297.87 for E-commerce platform order settlement from Online Portal S) [income]"
2025-10-06,270958.49,24946.99,5033.2,0.0,0.0,20600.93,"User Transactions: +Walk-in Store Sales (Daily) (Received ₹20,600.93 for Daily retail store sales revenue from Walk-in Store Sale) [income]"
2025-10-07,271687.05,6230.53,5501.98,0.0,0.0,0.0,Daily retail operations
2025-10-08,272766.51,6967.71,5888.25,0.0,0.0,0.0,Daily retail operations
2025-10-09,307612.25,57584.18,4667.16,0.0,18071.28,48732.14,"User Transactions: -Meta Ads (Paid ₹18,071.28 for Facebook & Instagram advertising campaign to Meta Ads. Cash ) [expense], +Walk-in Store Sales (Daily) (Received ₹16,591.95 for Daily retail store sales revenue from Walk-in Store Sale) [income], +Walk-in Store Sales (Daily) (Received ₹23,390.72 for Daily retail store sales revenue from Walk-in Store Sale) [income], +Walk-in Store Sales (Daily) (Received ₹8,749.47 for Daily retail store sales revenue from Walk-in Store Sales) [income]"
